gpa,attendance,study_hours,math_score,science_score,english_score,assignment_score,sleep_hours,parental_education,extracurricular,result
2.37,79.54,1.68,55.13,98.7,45.33,92.27,8.66,1,1,1
3.37,52.12,5.25,60.28,38.37,85.45,94.36,9.25,3,1,1
3.08,62.21,6.39,44.4,82.99,60.45,41.0,9.51,0,0,1
2.13,58.83,1.97,68.74,53.4,64.86,65.67,9.6,3,1,1
3.72,68.89,4.82,79.14,38.19,99.12,42.61,9.43,0,1,1
3.34,65.04,3.34,91.68,59.54,46.46,92.46,7.83,1,0,1
1.96,56.25,1.69,33.61,68.41,31.37,39.34,6.05,0,1,0
2.22,54.86,5.62,98.13,44.42,37.8,36.55,9.55,2,1,0
2.08,51.31,2.16,79.27,58.37,47.12,25.91,4.73,2,0,0
1.64,58.73,6.41,49.9,74.5,80.81,38.65,5.01,2,1,1
1.61,44.75,2.2,44.31,70.35,84.31,39.23,6.6,3,1,1
3.82,91.69,7.74,50.73,80.62,69.58,30.81,5.7,3,0,1
2.43,74.14,2.45,91.3,88.55,47.85,90.08,7.69,3,0,1
2.27,43.7,9.46,50.4,58.64,66.52,83.5,9.43,1,0,0
3.24,80.1,0.76,62.4,59.61,31.05,44.09,6.95,0,0,0
2.75,90.1,5.72,79.4,64.77,77.73,83.74,7.32,0,0,1
3.82,50.44,3.7,91.04,69.64,73.0,56.66,6.54,1,1,1
3.38,44.79,2.75,76.1,37.58,31.53,83.16,8.25,2,0,1
2.54,35.56,5.22,82.72,51.88,87.19,49.23,4.6,0,1,0
2.25,38.07,8.92,42.13,42.03,83.44,67.35,4.29,3,1,1
3.96,84.55,9.65,91.42,57.01,51.58,53.62,7.85,3,0,1
3.21,99.17,3.53,49.3,98.13,74.48,39.08,7.21,0,1,1
3.86,37.92,2.04,38.99,70.79,72.1,68.92,6.44,3,0,1
1.53,83.62,7.7,98.34,60.06,40.02,81.31,6.0,2,1,1
3.58,39.67,6.32,44.11,69.62,43.53,81.48,4.31,1,0,1
2.98,73.49,2.51,39.57,76.84,77.82,51.72,8.08,2,0,1
1.54,84.14,8.1,73.82,60.45,95.35,63.9,6.53,2,1,1
2.85,58.35,5.69,52.32,61.34,70.34,82.28,6.67,1,1,1
3.12,35.71,7.03,39.33,79.1,69.75,29.09,9.36,2,1,0
1.23,73.69,4.09,72.08,34.26,75.27,30.39,8.43,0,1,0
2.47,99.43,4.89,83.13,67.81,60.84,53.22,5.32,1,0,1
3.51,51.75,2.3,85.52,68.31,33.79,41.76,7.94,3,1,1
2.03,47.32,8.07,40.89,82.97,57.76,53.1,4.79,0,0,1
2.48,43.06,2.07,68.98,98.79,93.02,32.03,5.16,2,0,1
2.44,71.09,8.28,86.96,85.7,86.35,69.4,8.28,1,1,1
2.05,73.77,8.48,41.28,65.27,94.92,75.38,4.76,1,0,1
3.77,86.5,7.97,44.54,41.86,40.7,84.39,5.68,0,1,1
3.39,83.95,0.69,30.17,71.18,65.42,73.79,9.39,2,0,1
1.51,93.02,3.23,66.72,88.4,70.93,54.73,8.43,2,0,1
3.99,87.38,5.18,43.63,95.27,44.69,95.12,9.58,2,0,1
3.66,51.07,6.46,80.7,87.77,44.07,79.47,9.29,1,1,1
1.99,71.13,9.69,97.35,43.23,84.74,64.58,5.88,2,1,1
3.54,54.33,4.26,44.61,79.88,77.03,40.51,7.79,2,0,1
1.5,56.44,9.25,75.44,91.61,75.3,73.67,6.27,2,0,1
4.0,95.58,2.13,44.83,77.67,48.69,69.38,8.18,2,0,1
3.06,79.32,4.21,31.26,78.0,65.47,76.25,6.09,1,1,1
3.02,98.35,1.02,83.1,65.01,31.61,83.58,4.01,2,1,1
1.45,62.1,7.92,60.38,74.59,39.1,93.63,4.56,2,0,1
3.71,69.93,2.01,96.28,50.61,66.28,96.18,8.63,3,1,1
1.28,66.66,3.07,67.4,36.22,51.68,72.26,4.5,1,0,0
1.87,41.97,8.25,41.02,87.94,97.6,97.45,7.6,1,0,1
1.6,50.39,5.85,61.48,96.02,63.0,93.36,9.15,2,0,1
3.37,69.3,0.64,44.2,89.98,35.85,25.2,8.45,2,1,1
1.75,39.38,0.52,91.46,53.37,31.25,72.82,6.48,1,1,0
3.75,95.55,5.61,78.36,36.55,80.77,38.39,5.25,0,1,1
3.04,43.05,3.55,53.89,49.61,42.01,47.14,9.54,2,0,1
1.3,47.87,2.3,66.95,89.0,43.15,47.31,7.4,2,1,0
1.22,84.75,6.64,76.86,75.91,59.67,61.23,6.43,3,1,1
1.34,41.3,2.78,84.8,97.67,48.48,25.81,9.65,2,1,1
2.9,93.52,6.42,35.61,53.99,73.16,42.68,5.29,2,1,1
3.44,82.17,4.29,31.58,68.6,64.0,27.18,6.65,0,1,0
1.87,39.46,2.37,38.01,85.3,37.8,73.79,4.65,1,1,0
3.58,79.97,1.88,57.65,46.38,84.93,91.7,4.75,0,1,1
1.36,76.06,2.87,62.67,97.49,59.81,99.83,6.39,2,1,1
3.44,84.23,0.8,39.55,71.47,72.76,58.64,8.2,2,0,1
3.8,88.83,3.58,58.78,30.55,30.28,44.51,6.03,3,0,1
3.36,81.69,9.52,60.91,31.76,73.85,88.98,8.14,2,1,1
3.15,73.1,8.81,37.64,91.76,49.8,33.49,8.83,3,1,1
3.55,55.96,4.22,94.17,75.17,64.61,98.07,9.27,2,0,1
1.31,80.32,6.26,71.94,83.42,50.84,78.61,4.27,3,0,1
1.76,97.2,6.17,57.2,84.88,99.74,62.8,8.64,1,1,1
1.55,73.19,8.79,65.48,59.43,46.16,32.25,4.88,2,1,0
2.61,78.18,2.86,51.99,85.9,93.9,26.36,8.19,2,0,1
3.29,63.41,3.46,89.8,95.63,94.26,65.84,6.23,2,0,1
2.96,84.15,3.52,70.25,42.05,59.47,56.04,8.25,2,0,1
3.58,99.85,0.91,64.64,83.49,51.28,88.2,5.28,3,1,1
1.63,45.43,3.65,93.76,51.55,56.67,73.17,7.87,0,1,1
3.26,48.16,9.28,88.66,52.5,99.25,57.39,4.75,1,0,1
1.74,70.06,9.62,86.9,58.89,73.32,41.95,5.02,2,0,0
1.96,66.29,1.6,45.79,90.46,68.13,61.03,7.69,2,0,1
3.19,72.15,5.08,40.72,31.54,32.51,37.22,6.02,2,0,1
3.94,38.19,4.31,78.31,60.37,89.35,75.03,8.22,0,0,1
2.91,61.28,5.39,62.8,77.6,35.87,70.43,8.11,3,0,1
1.35,72.89,6.05,77.86,37.73,33.29,85.76,7.73,2,0,0
2.93,73.04,0.7,83.24,85.46,49.24,58.71,8.38,1,1,1
1.32,77.73,8.92,50.67,95.93,63.31,45.9,8.76,3,1,1
3.68,81.81,10.24,49.93,36.37,92.67,87.73,9.47,1,0,1
3.19,76.7,7.03,64.36,40.71,85.31,76.82,4.48,0,0,1
1.68,86.37,7.1,49.15,98.19,43.83,78.0,7.43,3,0,1
1.46,75.61,5.78,76.71,43.85,56.05,64.61,8.49,1,0,1
1.71,69.94,3.84,82.27,35.53,84.62,90.7,5.3,3,1,1
3.94,74.4,1.99,63.04,96.65,66.9,42.08,5.58,2,0,1
2.48,41.58,6.34,80.67,92.48,42.21,55.13,5.6,0,1,1
3.4,52.76,0.95,65.73,75.9,57.72,84.72,7.43,1,0,0
2.98,69.28,8.75,79.9,68.6,73.82,34.97,6.2,3,1,1
2.8,91.74,4.71,45.75,94.35,98.13,85.61,8.0,3,0,1
1.61,79.14,4.65,81.72,75.89,76.33,51.44,7.66,0,0,1
3.85,40.88,3.77,80.06,76.09,31.13,34.41,7.94,3,0,1
2.04,73.5,10.19,48.66,89.06,79.35,30.94,5.51,3,1,1
2.82,49.41,2.25,68.92,75.73,47.56,88.23,8.6,2,0,1
3.16,82.71,2.01,89.87,65.26,90.35,83.4,7.98,0,1,1
3.02,88.78,2.16,47.47,57.28,56.87,46.6,4.78,2,1,1
3.83,73.57,7.09,81.52,65.22,43.97,33.73,5.2,1,1,1
1.62,73.44,10.42,96.78,66.57,62.76,43.54,5.81,0,1,1
2.62,57.01,2.85,90.64,55.26,47.86,40.97,9.62,3,1,0
2.33,64.01,9.56,58.11,61.37,46.51,79.98,5.96,2,1,1
2.53,91.17,3.29,72.5,86.13,70.13,41.17,4.12,0,0,0
1.53,82.02,6.98,99.42,59.16,83.71,41.21,4.85,1,1,1
1.58,68.78,0.9,69.79,31.79,88.45,27.42,4.19,3,1,1
1.98,58.94,5.46,38.05,49.81,57.84,69.76,6.42,1,0,0
2.05,38.27,7.05,33.18,46.22,34.68,76.67,8.78,1,1,1
2.4,44.3,5.86,85.32,85.55,63.88,74.01,6.7,0,1,0
2.91,47.55,2.88,59.65,61.45,60.36,67.64,9.03,0,0,0
2.98,59.27,8.78,47.28,49.62,43.79,97.46,4.29,3,0,1
2.35,96.37,10.2,54.34,86.75,92.73,60.46,6.82,3,0,1
2.34,67.83,5.09,83.02,31.35,98.19,89.51,8.72,0,0,1
1.81,50.26,6.86,62.57,42.2,33.62,73.45,8.05,2,0,1
2.85,41.87,8.4,90.79,87.89,85.7,31.31,9.12,2,0,1
2.09,56.99,2.91,81.44,68.55,75.2,85.76,5.64,3,1,1
1.3,88.02,9.14,98.18,84.16,48.3,68.83,7.01,2,0,1
2.37,59.92,3.3,92.2,88.67,74.46,74.01,8.06,3,0,1
2.53,85.21,8.26,47.82,95.94,39.01,38.52,5.01,0,0,1
1.83,87.18,1.62,76.13,34.44,34.86,57.81,8.89,0,1,0
2.8,42.2,3.38,31.44,85.95,99.54,91.04,5.87,1,1,1
2.78,74.56,5.84,99.38,79.61,74.55,41.16,4.56,1,1,1
3.17,97.34,5.75,48.27,44.49,47.73,25.01,8.59,3,1,1
3.01,61.14,9.0,76.54,95.22,61.5,44.31,8.23,1,0,1
3.03,38.31,10.46,89.44,58.29,96.51,61.57,9.3,1,1,1
2.09,95.01,1.57,41.23,92.13,60.71,86.6,9.35,2,0,0
3.4,92.44,3.21,89.35,72.36,93.03,73.25,5.67,3,0,1
2.74,68.94,4.08,30.86,66.87,90.82,93.93,7.85,0,0,1
2.41,70.9,5.29,60.94,41.17,54.09,59.17,9.99,2,0,1
2.95,48.76,5.44,63.04,94.0,78.72,54.31,5.46,1,0,1
2.21,88.26,9.06,56.19,68.97,76.23,42.36,6.84,0,0,1
2.64,67.41,8.21,71.05,30.43,83.98,41.35,9.46,3,1,1
3.26,37.2,0.69,94.04,31.28,55.62,80.21,4.62,3,1,1
3.68,79.4,5.05,52.89,84.43,33.66,31.03,9.57,0,1,1
3.78,96.78,6.68,70.55,41.34,41.97,43.2,6.93,3,0,1
2.61,88.89,5.1,91.42,71.91,73.16,91.44,9.36,2,1,1
2.66,53.02,1.81,84.11,77.68,84.26,68.27,7.73,2,0,1
3.44,38.47,4.47,32.85,49.56,82.92,28.49,8.03,1,1,1
2.08,96.12,4.62,96.0,69.85,70.86,77.82,8.64,1,1,1
3.54,95.91,2.38,33.27,46.82,35.93,63.0,4.4,0,0,0
2.58,69.61,8.06,71.21,96.24,31.21,89.09,7.77,0,0,1
1.52,76.75,3.71,70.27,90.21,84.75,76.18,9.54,0,1,1
1.4,65.07,6.39,85.05,50.16,68.46,25.33,9.74,2,1,1
3.56,62.28,5.66,40.39,67.02,84.79,40.43,9.81,0,0,1
1.36,42.76,9.27,42.56,65.04,41.4,44.35,7.87,2,0,1
1.99,41.29,1.72,82.65,97.2,58.52,77.67,7.8,2,0,1
2.14,50.13,1.64,40.47,57.58,94.34,63.2,7.31,1,0,1
1.68,89.38,3.5,62.86,69.36,42.01,81.06,7.65,0,0,1
2.08,44.48,4.81,81.22,95.01,34.31,63.47,7.67,2,1,1
3.28,49.74,3.49,75.59,41.4,75.74,49.55,4.25,3,0,1
1.24,70.66,8.13,44.74,68.53,71.62,32.77,4.53,1,0,0
3.52,48.98,2.95,51.28,37.4,96.64,40.2,7.72,3,1,1
3.6,45.61,1.35,97.83,73.22,93.45,55.06,5.89,1,1,1
2.24,71.62,4.64,61.41,55.6,82.46,66.36,5.81,0,1,1
1.63,58.93,8.23,33.11,97.73,31.34,95.4,5.16,2,1,1
2.88,75.7,9.01,45.37,59.08,63.63,42.98,8.81,3,0,1
1.54,94.29,7.83,53.97,39.53,92.73,74.96,9.79,3,0,1
2.22,44.81,6.08,99.96,88.38,60.36,36.44,7.77,3,0,1
3.88,94.37,7.74,51.19,87.46,97.35,78.53,9.67,0,0,1
3.99,93.66,7.31,31.85,78.64,75.67,25.85,9.3,0,1,1
3.36,88.89,2.84,65.9,82.42,37.66,74.19,5.31,2,0,1
2.07,76.03,6.01,35.85,48.53,65.65,37.24,4.92,3,1,1
3.13,75.31,8.21,49.18,74.94,78.69,38.52,5.27,3,1,1
3.18,76.55,3.67,99.47,32.66,34.58,66.92,4.58,1,1,1
2.29,79.88,7.04,79.32,43.78,54.13,53.16,7.5,1,0,1
2.99,36.07,5.31,33.55,95.26,80.2,60.35,5.7,2,0,1
1.23,97.28,5.53,61.41,81.75,40.99,48.17,9.48,3,0,1
1.79,73.06,1.4,42.01,46.15,54.38,96.51,7.68,0,0,0
2.67,85.8,7.16,38.61,37.8,78.29,46.8,6.16,3,0,1
1.66,59.52,9.16,71.09,96.42,84.29,65.65,9.91,3,1,1
1.66,35.81,1.91,65.4,37.85,66.3,89.08,9.72,0,0,0
3.54,68.13,4.16,82.0,47.99,96.98,74.81,8.67,3,1,1
3.97,67.97,0.99,92.46,42.78,94.77,49.21,8.75,2,0,1
2.76,63.4,0.8,47.27,30.52,63.14,66.43,9.86,3,0,1
3.55,57.08,10.4,94.61,51.99,41.22,31.22,7.6,0,0,1
3.97,51.24,5.43,66.26,98.19,84.11,65.93,9.28,3,0,1
1.6,69.29,4.06,48.12,53.93,47.02,57.35,4.39,0,0,0
2.46,59.39,3.25,89.21,65.3,89.0,81.85,7.32,0,0,1
2.3,98.05,10.3,32.49,82.22,71.1,88.59,7.02,1,1,1
1.42,46.24,3.02,69.17,68.58,57.59,39.97,4.23,2,1,1
3.31,55.78,7.76,80.51,82.05,68.95,31.12,4.52,0,1,1
2.41,54.11,3.34,49.6,76.31,67.3,54.29,4.13,1,0,0
2.51,70.32,1.2,90.44,72.6,94.73,65.06,5.76,1,0,1
1.62,67.45,7.33,46.82,75.48,45.01,53.26,4.32,0,1,1
1.71,76.84,0.52,88.79,85.94,94.97,72.14,6.54,0,1,1
3.74,96.75,7.26,35.5,79.71,32.19,62.92,8.88,0,1,1
1.33,53.54,3.0,41.19,85.42,83.84,95.25,7.68,3,0,1
1.85,80.03,7.96,56.67,40.19,94.38,55.7,8.04,3,0,1
2.02,36.63,8.2,89.78,77.44,57.58,31.19,4.19,2,1,1
2.57,52.06,7.74,40.12,81.59,35.11,47.65,9.04,2,0,1
2.84,65.14,0.74,91.28,51.0,86.33,70.44,4.88,0,1,1
2.58,37.01,7.54,46.08,91.22,89.0,44.2,5.82,0,0,0
1.44,75.15,10.4,61.68,51.33,53.54,45.17,7.1,1,0,1
1.88,79.09,2.93,54.69,47.07,66.3,50.47,9.58,3,0,1
3.56,83.54,3.24,38.27,90.7,86.66,80.96,9.99,1,0,1
2.99,68.58,8.64,96.1,47.29,43.44,95.51,8.7,3,1,1
3.02,74.26,2.1,60.67,59.09,74.03,51.28,8.38,1,0,1
3.08,60.74,7.11,78.32,55.75,60.14,39.66,7.17,1,1,1
3.34,37.68,8.05,70.27,92.86,42.21,56.55,7.99,3,1,1
1.36,41.5,0.87,65.12,61.87,88.2,51.39,4.87,1,0,1
2.23,77.57,6.04,73.16,78.6,52.73,99.25,5.62,2,0,1
2.71,99.71,6.26,92.88,85.58,95.41,59.79,9.91,2,1,1
2.15,36.03,3.53,78.95,73.95,69.83,75.95,9.88,2,1,1
3.56,71.24,9.26,67.27,96.06,66.02,93.53,5.94,2,0,1
2.55,83.82,2.13,75.16,86.18,59.63,72.18,5.45,3,1,1
3.35,88.74,4.14,72.45,58.01,58.05,43.7,5.38,1,1,1
3.59,70.44,8.99,60.32,96.56,87.26,70.56,6.91,1,1,1
2.61,75.29,2.41,73.73,66.72,77.43,55.14,5.34,2,1,1
3.75,80.29,8.71,61.05,31.58,84.16,56.68,7.89,1,0,1
2.84,90.83,1.29,83.03,48.2,59.48,98.45,4.45,0,0,1
3.58,42.95,5.39,97.82,73.52,48.3,45.89,4.62,1,0,0
2.15,95.2,1.25,97.19,40.98,36.08,60.17,5.66,2,1,1
2.6,36.69,7.28,87.45,70.88,84.37,36.99,8.66,2,1,1
2.69,89.35,8.41,72.12,55.31,59.07,38.39,5.94,1,1,1
1.49,39.99,9.0,82.45,67.41,65.65,70.26,6.82,2,1,1
2.32,47.65,10.31,42.46,30.13,62.85,81.33,7.94,1,0,0
3.77,35.25,7.22,63.53,89.39,60.18,72.73,8.73,2,1,1
2.97,63.94,8.19,48.01,55.33,77.87,49.7,5.84,1,1,1
1.7,56.73,5.56,30.24,39.81,72.61,29.47,8.39,3,0,1
2.15,45.79,9.63,97.67,60.65,98.04,60.27,5.72,2,0,1
1.74,64.32,6.94,90.47,64.03,39.72,62.82,7.87,2,1,1
1.27,61.15,9.34,65.96,74.62,70.15,82.8,6.71,1,0,0
3.8,84.9,2.85,47.79,66.72,34.43,73.02,9.56,3,0,1
2.45,93.05,5.47,78.51,33.05,86.55,90.34,9.89,1,1,1
2.06,77.42,7.8,60.44,91.01,73.14,83.72,8.64,3,0,1
2.88,43.09,2.53,86.23,61.96,59.99,52.44,9.49,0,0,0
1.22,54.2,2.61,99.97,35.39,86.16,72.42,4.82,3,0,1
1.98,94.37,10.28,54.44,84.1,61.85,81.05,7.93,3,0,1
3.17,40.77,4.85,47.11,76.21,45.95,96.77,5.19,0,0,1
2.97,61.45,2.32,48.72,75.46,63.08,56.68,5.66,0,0,1
3.95,96.26,3.81,36.53,59.88,34.96,73.62,7.14,3,1,1
2.94,96.79,4.47,57.58,58.73,92.85,54.45,8.45,1,0,1
2.54,61.73,6.73,31.22,67.54,81.17,80.34,8.33,2,0,1
3.33,78.38,9.73,38.01,33.54,83.22,93.4,9.22,0,0,1
3.73,64.69,10.37,49.02,50.93,91.21,93.94,7.36,1,1,1
3.22,83.97,7.02,41.19,99.15,85.41,36.78,9.56,2,0,1
3.9,37.05,7.5,81.25,76.35,60.23,40.31,9.33,3,0,1
3.39,44.37,3.72,37.39,59.33,38.3,81.62,9.09,1,1,1
3.63,74.92,9.07,90.62,45.57,56.14,72.33,5.38,0,1,1
1.52,50.12,2.68,45.48,82.16,95.39,92.88,7.19,1,0,0
3.25,78.29,1.56,37.6,48.22,96.44,48.54,8.42,2,0,1
2.43,57.83,10.23,30.71,41.37,83.75,88.6,9.86,3,1,1
2.75,92.63,9.14,80.06,40.82,44.31,76.28,4.07,3,1,1
3.03,88.25,3.54,47.96,81.05,43.61,39.66,5.96,3,1,1
3.92,67.03,7.25,65.66,75.0,91.58,34.49,6.05,0,1,1
3.96,85.24,5.17,37.81,34.89,39.93,77.7,5.73,2,0,1
2.01,52.62,3.73,98.97,38.05,70.89,36.88,8.9,2,0,0
3.25,67.13,3.37,38.78,74.37,56.48,84.57,4.27,1,1,1
3.3,47.84,1.86,58.83,69.98,51.14,66.78,6.16,3,0,1
2.17,90.96,5.99,89.62,78.02,77.42,60.77,8.27,3,1,1
1.55,88.5,4.97,47.14,42.46,97.17,45.66,6.44,0,1,0
1.31,93.64,5.62,48.69,80.86,84.43,98.79,4.86,3,1,1
3.38,92.04,2.65,86.59,95.53,64.03,79.16,7.67,3,0,1
2.57,97.37,9.89,49.13,72.07,60.85,83.35,7.14,2,1,1
3.96,49.84,6.89,30.2,43.73,93.54,82.65,9.89,1,1,1
2.5,95.57,9.5,59.95,77.57,70.47,68.8,8.49,3,0,1
3.94,72.13,1.59,30.88,54.02,64.76,95.48,9.92,2,1,1
2.35,62.46,6.73,93.69,33.45,77.8,68.79,5.12,3,0,1
3.42,71.42,8.99,74.93,51.16,46.6,64.0,8.57,2,1,1
1.44,57.27,3.81,70.81,93.39,34.46,45.53,7.31,3,1,0
2.76,53.76,2.45,44.11,58.78,89.86,46.13,8.28,1,0,1
3.45,50.69,3.15,79.0,90.53,72.51,80.27,6.81,0,1,1
3.79,40.36,3.23,77.41,65.61,41.54,50.11,5.27,1,0,1
3.5,67.28,4.97,34.23,66.19,50.86,79.65,4.27,3,1,1
1.3,92.7,3.76,91.66,30.37,99.3,96.45,9.03,2,0,1
2.24,75.96,3.21,70.56,74.6,74.41,57.95,8.89,2,1,1
1.34,68.86,6.99,85.47,37.55,74.53,32.3,4.98,2,0,0
1.51,62.86,1.03,48.4,63.51,35.05,74.99,7.87,2,0,0
3.09,65.19,3.9,38.54,48.22,97.83,25.71,8.43,0,1,0
3.2,48.6,7.4,79.17,57.47,92.49,84.03,7.35,1,0,1
3.37,88.49,2.26,85.57,67.6,68.34,64.42,5.9,0,1,1
3.62,47.89,2.71,57.02,31.01,51.66,61.73,9.29,1,1,1
3.27,81.58,2.51,31.66,49.92,78.86,67.71,7.85,2,1,1
3.44,84.4,0.51,87.28,99.27,88.34,63.73,8.32,3,0,1
1.34,72.37,5.24,44.43,34.02,85.03,49.28,7.91,0,0,0
1.86,91.09,0.89,53.73,52.36,98.39,46.11,8.33,2,1,0
2.94,53.92,3.23,73.98,52.5,74.58,56.15,4.87,0,1,1
3.6,92.31,10.45,37.0,56.56,52.49,92.12,9.54,0,1,1
1.21,82.41,9.68,35.04,77.93,64.85,35.15,5.71,3,1,1
2.64,86.92,2.65,31.8,47.34,87.14,49.36,9.02,2,0,1
3.1,78.2,3.6,94.16,62.22,48.57,39.42,9.36,0,1,0
1.28,90.01,5.14,51.8,75.14,46.2,57.04,7.91,0,0,0
2.32,99.55,8.94,76.25,52.56,80.74,35.01,7.59,0,1,1
3.71,62.31,8.53,99.25,96.41,61.11,82.06,4.65,1,1,1
3.08,87.9,1.76,76.86,98.58,87.16,32.76,6.62,0,0,1
1.87,83.4,1.74,66.76,38.38,40.06,74.89,7.67,2,1,1
3.59,64.44,4.67,66.46,54.07,53.5,45.08,4.49,1,1,1
2.17,95.25,9.2,56.38,44.56,48.77,60.41,4.67,2,1,1
3.59,60.64,9.32,71.98,43.08,78.85,40.0,9.96,0,1,1
2.04,71.76,1.57,97.12,64.37,83.15,79.77,5.99,0,0,0
2.85,41.89,6.24,85.16,69.47,61.92,96.12,6.1,0,0,1
2.31,49.68,2.06,59.7,59.8,63.46,41.63,5.51,0,0,0
1.97,89.65,7.36,53.27,49.08,39.24,96.49,7.88,0,0,1
3.68,60.78,9.66,91.85,49.5,79.13,49.4,6.84,1,0,1
1.73,60.62,5.05,39.51,99.45,99.46,66.84,8.74,3,0,1
1.44,50.99,1.33,89.47,94.66,84.45,77.62,7.07,2,0,0
2.16,66.95,6.29,47.86,35.31,45.62,39.95,4.09,1,1,1
3.21,87.38,4.59,80.09,75.96,73.62,58.36,6.9,3,0,1
3.46,93.19,8.61,86.44,61.98,50.65,30.09,4.33,3,0,1
4.0,39.56,3.9,63.39,78.22,32.11,77.28,8.96,3,1,1
2.03,72.36,9.25,43.46,71.79,42.59,56.25,4.68,3,1,1
2.34,65.37,3.24,89.13,92.25,37.18,91.87,5.3,2,0,1
1.58,74.93,2.08,55.73,34.69,43.72,45.55,6.76,3,0,1
2.81,64.07,3.56,52.45,54.47,85.69,94.27,5.17,1,1,1
3.99,60.91,0.85,65.7,98.98,50.5,35.58,7.24,3,0,1
3.16,65.67,3.31,60.46,42.76,82.99,70.52,6.76,0,1,1
2.87,72.83,7.1,77.81,38.91,96.42,48.09,9.72,1,0,1
2.3,67.56,1.92,39.6,81.03,70.2,38.63,4.53,3,1,0
3.76,65.69,1.61,60.5,84.42,63.98,32.05,7.46,0,0,0
2.59,88.16,1.82,92.42,77.06,82.51,74.17,8.32,2,1,1
1.58,83.47,1.28,32.52,84.33,36.8,42.49,4.77,1,1,0
2.22,57.19,9.25,62.01,78.56,59.97,67.96,7.82,0,0,0
1.39,87.04,9.94,76.24,39.5,64.92,98.46,9.19,0,0,1
1.77,90.49,0.97,92.14,72.58,88.17,48.7,8.73,2,1,0
1.25,44.98,8.1,71.57,84.38,87.0,27.62,9.61,2,0,0
2.47,72.87,7.87,87.71,90.59,89.38,35.71,8.32,2,0,1
2.98,53.55,10.47,45.59,47.24,78.85,33.95,6.36,0,1,1
2.16,83.05,3.98,54.7,38.92,67.14,59.75,9.52,1,0,1
2.38,50.52,3.36,95.95,84.68,87.95,80.85,5.35,0,0,1
3.89,78.64,5.03,92.02,47.96,91.13,47.23,7.5,0,1,1
3.31,51.58,9.07,69.06,32.24,63.63,35.94,8.59,1,0,0
2.71,68.22,7.79,63.28,87.76,99.0,73.06,9.23,2,0,1
2.0,96.66,5.22,61.57,65.42,91.24,47.59,9.5,1,1,1
3.71,59.78,2.95,34.12,52.86,65.73,68.14,4.51,0,0,1
1.86,91.92,7.77,92.47,30.8,34.85,95.03,8.36,0,0,1
2.11,99.15,9.05,87.27,32.47,45.71,46.85,5.22,1,1,1
3.75,91.87,4.5,61.94,85.48,84.35,63.44,8.67,1,0,1
2.68,45.78,7.19,49.56,64.28,37.78,85.51,8.2,3,0,1
3.28,88.28,4.5,54.0,40.48,62.89,76.88,5.09,2,0,1
2.85,37.09,5.28,38.62,55.1,72.34,81.36,9.0,3,0,1
3.03,60.56,5.75,80.53,41.57,91.48,82.94,6.77,0,1,1
2.04,91.6,8.26,68.97,37.9,89.3,65.49,7.26,1,0,1
1.88,79.77,10.28,46.39,49.34,83.5,65.2,9.83,0,0,1
2.1,69.63,4.94,73.61,68.47,58.54,78.92,7.94,0,0,1
1.64,60.21,3.92,98.55,44.7,39.96,77.32,7.53,3,1,1
3.65,87.8,4.24,38.57,54.06,76.88,75.25,4.1,1,1,1
1.99,81.12,1.84,62.09,63.46,42.69,53.66,5.2,2,0,1
2.77,65.45,3.47,64.59,59.4,69.29,87.14,4.16,1,1,1
3.42,93.01,1.36,41.68,39.0,98.65,42.72,6.0,0,0,1
3.39,49.95,4.78,67.21,32.72,68.52,36.68,6.07,3,0,1
2.43,46.08,2.17,72.42,32.48,75.19,50.89,7.18,2,1,1
2.53,76.78,3.96,41.01,54.51,77.43,44.04,8.14,2,1,1
3.99,98.18,8.44,40.83,80.32,88.13,74.74,5.08,2,1,1
3.09,51.07,2.96,89.94,39.19,60.45,42.33,7.61,1,1,1
3.48,51.23,6.62,51.8,85.09,64.83,74.24,9.5,1,1,1
3.73,44.07,9.51,74.12,80.1,42.32,63.49,5.11,3,1,1
3.41,90.94,6.17,73.87,30.28,73.03,36.43,7.95,0,1,1
1.72,49.72,2.44,88.74,31.87,50.7,44.38,4.27,1,1,0
2.77,67.71,3.95,81.79,43.65,65.53,64.13,7.19,1,0,1
1.49,99.41,6.4,88.84,33.93,83.66,79.98,8.45,2,1,1
3.03,35.79,5.57,73.77,67.19,31.23,54.87,4.2,3,1,1
3.87,71.17,1.99,61.46,32.77,69.47,42.46,6.0,3,1,1
2.64,68.3,4.97,57.55,86.19,42.14,47.13,9.27,2,1,1
2.41,87.48,5.93,56.53,64.51,49.56,32.13,5.35,0,1,1
1.3,58.09,3.17,59.29,80.96,32.43,26.89,8.34,3,0,0
3.89,61.67,6.62,39.05,82.55,41.86,97.98,7.67,1,0,1
1.49,45.92,1.2,59.68,65.47,99.06,32.23,4.98,1,0,0
1.32,83.15,3.87,57.26,94.78,99.9,34.37,8.45,3,0,0
1.89,86.01,8.54,32.42,99.32,80.39,90.32,7.19,1,1,1
1.38,43.88,3.09,49.26,55.15,72.83,74.76,4.67,1,0,0
2.47,60.57,6.55,82.63,38.81,84.39,57.71,9.7,3,1,1
2.65,93.04,4.6,70.46,55.43,92.76,73.68,6.95,1,1,1
2.08,35.18,3.66,86.43,45.63,66.35,95.12,8.47,2,0,1
1.34,54.42,9.66,67.99,67.17,32.47,32.45,5.31,0,0,0
